task,latency,resource,observation,reward,cost,workload,conf
36,7.615,49.0,1.13;0.39;0.34;2.14;0.52;1.54;0.93;0.88;0.02;4.53;5.18;2.56;9.29;5.7;10.44;2.71;18.64;0.44;49.0;10;7.615,2.4,0,10,3;3;4;3;40;800;15;1;3;-4;1.5;90;2;2;4;2;2;1;2;9;160;1;1;1;2;320;224;1.1;4;2
37,7.631,57.0,1.07;0.27;0.42;1.67;0.26;0.97;1.15;0.83;0.02;7.94;5.25;2.9;10.1;5.91;5.69;2.9;18.93;0.45;57.0;10;7.631,0.5,0,10,2;3;4;3;30;700;15;1;3;-5;1.7;100;3;3;3;3;3;2;2;8;160;2;1;1;1;320;256;1.6;3;3
38,7.555,40.0,1.03;0.31;0.34;1.82;0.42;0.48;0.84;0.82;0.02;7.98;6.0;3.01;9.52;5.9;6.49;1.71;14.12;0.61;40.0;10;7.555,11,0,10,3;3;3;2;40;800;16;1;3;-4;1.9;90;2;2;2;2;2;3;1;8;32;2;1;2;1;352;288;1.6;2;2
39,7.423,37.0,0.98;0.34;0.33;2.0;0.35;0.45;0.47;0.67;0.03;5.74;8.23;2.93;9.15;9.62;9.76;1.38;7.31;0.66;37.0;10;7.423,3.1,0,10,4;2;2;1;50;700;17;1;2;-4;1.7;80;3;3;2;1;1;2;2;9;160;3;1;3;2;320;320;1.1;3;1
40,86.911,44.0,1.25;0.14;0.62;0.9;0.41;1.35;0.58;1.15;0.02;4.89;7.18;1.05;15.02;3.62;19.98;0.73;2.7;0.38;44.0;10;86.911,0.5,0,10,4;3;3;2;60;600;18;2;1;-5;1.9;90;2;2;3;1;1;1;1;8;32;4;1;4;1;352;288;1.1;4;2
41,7.307,36.0,1.07;0.29;0.69;2.98;0.32;1.39;0.79;1.04;0.02;5.45;6.51;1.08;13.22;8.05;15.47;0.89;4.89;0.37;36.0;10;7.307,6.6,0,10,3;2;4;1;70;600;19;3;2;-6;2.1;80;1;1;2;1;2;1;1;9;32;3;1;4;2;320;256;1.1;4;1
42,7.555,48.0,1.03;0.43;0.52;1.57;0.41;1.37;0.78;0.82;0.03;8.26;6.47;0.83;17.08;9.7;8.88;0.89;5.46;0.42;48.0;10;7.555,0.5,0,10,2;3;3;1;60;600;20;4;3;-6;2.3;70;2;2;2;1;3;1;1;9;32;4;1;3;2;288;288;1.1;4;2
43,7.719,53.0,1.1;0.5;0.39;0.85;0.53;0.88;0.26;0.83;0.02;8.59;5.89;0.8;8.31;16.14;5.83;0.71;8.13;0.37;53.0;10;7.719,0.5,0,10,3;2;4;2;70;500;21;3;3;-6;2.5;60;1;2;1;2;4;1;1;9;32;4;1;2;3;288;256;1.1;4;3
44,7.359,51.0,1.14;0.42;0.53;4.59;0.36;1.0;1.09;0.73;0.02;5.18;3.9;0.84;14.3;16.46;5.77;0.69;7.83;0.37;51.0;10;7.359,2.4,0,10,3;3;4;1;80;600;22;3;3;-5;2.5;70;1;3;2;1;3;1;1;8;32;4;1;3;3;288;224;1.1;4;2
45,10.319,57.0,1.14;0.86;0.34;0.91;0.46;0.76;0.72;0.82;0.02;4.75;7.26;0.97;12.59;4.08;9.51;0.73;9.46;0.35;57.0;10;10.319,0.5,0,10,4;3;3;1;90;600;22;3;3;-4;2.7;80;2;2;3;1;2;2;1;9;32;4;1;2;3;256;192;1.1;4;3
46,7.811,44.0,0.87;0.67;0.5;2.11;0.28;0.38;0.52;0.84;0.02;4.69;6.38;0.9;10.8;7.95;7.47;0.8;11.37;0.42;44.0;10;7.811,10.1,0,10,3;3;2;2;80;500;22;4;3;-3;2.9;70;1;1;2;1;2;2;2;8;160;4;1;1;2;256;224;1.1;3;2
48,7.567,33.0,1.4;0.23;0.56;0.71;0.29;0.64;0.76;0.83;0.02;6.5;17.11;1.1;19.15;7.91;14.5;0.87;18.76;0.48;33.0;10;7.567,6.6,0,10,3;2;1;3;90;400;24;2;3;-3;2.9;50;3;1;4;1;1;2;2;9;32;4;1;1;2;288;288;1.1;3;1
49,7.767,43.0,1.15;0.45;0.34;0.72;0.56;0.47;0.49;0.81;0.03;4.06;14.93;1.22;10.34;5.67;19.43;0.86;14.18;0.52;43.0;10;7.767,0.5,0,10,4;3;1;3;100;500;24;3;2;-2;3.1;60;3;1;3;1;1;2;2;8;160;4;1;2;2;320;320;1.6;3;2
50,8.147,59.0,0.87;0.22;0.52;1.95;0.52;0.88;0.66;0.67;0.02;4.8;17.01;0.82;6.72;8.53;19.32;0.91;7.55;0.49;59.0;10;8.147,0.5,0,10,4;2;2;2;90;600;25;4;3;-2;3.1;60;4;2;2;2;1;1;2;9;288;4;1;3;3;288;288;1.1;3;3
51,7.639,53.0,2.18;0.52;0.43;1.76;0.49;1.34;1.09;0.69;0.02;4.92;9.47;0.75;6.21;13.39;16.99;1.04;5.32;0.57;53.0;10;7.639,5.2,0,10,4;1;3;1;100;500;26;4;3;-2;3.3;70;4;3;1;3;2;1;3;10;160;4;1;3;3;288;256;1.1;2;2
