task,latency,resource,observation,reward,cost,workload,conf
52,43.07,46,1.49;0.45;0.39;1.43;0.66;0.62;0.95;0.82;0.02;15.49;5.9;1.17;7.64;8.12;19.03;1.19;18.84;0.64;46;10;43.07,-1,-1,10,3;3;1;2;40;100;-1;3;1;0;0.5;70;2;1;4;2;4;2;2;13;160;3;1;4;2;800;288;2.1;1;3
53,9.17,51,1.2;0.41;0.22;8.09;0.64;0.5;0.36;0.96;0.02;9.79;5.9;2.11;7.96;14.64;15.44;2.27;19.19;0.52;51;10;9.17,-1,-1,10,3;3;2;3;30;100;-2;4;1;1;0.7;80;3;1;4;2;4;3;2;14;32;2;1;4;1;800;256;2.6;1;3
54,9.17,48,1.2;0.41;0.22;8.09;0.64;0.5;0.36;0.96;0.02;9.79;5.9;2.11;7.96;14.64;15.44;2.27;19.19;0.52;48;10;9.17,-1,-1,10,2;2;2;2;30;100;-2;4;1;0;0.9;80;2;2;4;2;4;2;3;15;32;2;1;4;2;832;288;2.6;2;3
55,9.17,50,1.2;0.41;0.22;8.09;0.64;0.5;0.36;0.96;0.02;9.79;5.9;2.11;7.96;14.64;15.44;2.27;19.19;0.52;50;10;9.17,-1,-1,10,1;1;3;3;40;200;-2;4;2;0;1.1;80;3;2;3;3;3;1;4;16;32;1;1;4;1;832;320;3.1;3;3
56,9.17,60,1.2;0.41;0.22;8.09;0.64;0.5;0.36;0.96;0.02;9.79;5.9;2.11;7.96;14.64;15.44;2.27;19.19;0.52;60;10;9.17,-1,-1,10,1;2;4;3;30;100;-2;4;3;1;1.3;90;2;2;3;3;3;2;5;15;32;1;1;4;2;800;320;2.6;2;3
57,43.07,65,1.49;0.45;0.39;1.43;0.66;0.62;0.95;0.82;0.02;15.49;5.9;1.17;7.64;8.12;19.03;1.19;18.84;0.64;65;10;43.07,-1,-1,10,1;3;4;3;40;100;-2;4;3;2;1.1;90;1;1;3;3;4;3;4;14;160;2;1;4;3;832;320;3.1;1;2
58,94.53,66,0.0;0.3;0.52;3.65;0.0;0.2;0.64;0.62;0.02;4.65;11.91;1.86;4.28;18.89;12.95;1.96;9.42;1.46;66;10;94.53,-1,-1,10,1;2;3;3;30;100;-3;4;3;3;1.3;80;1;2;4;3;4;3;4;13;32;1;1;4;3;864;352;3.6;2;2
59,9.17,58,1.2;0.41;0.22;8.09;0.64;0.5;0.36;0.96;0.02;9.79;5.9;2.11;7.96;14.64;15.44;2.27;19.19;0.52;58;10;9.17,-1,-1,10,1;2;4;2;40;100;-3;4;2;4;1.1;90;2;3;3;3;3;3;3;14;32;2;1;4;3;896;352;3.6;2;1
60,43.07,39,1.49;0.45;0.39;1.43;0.66;0.62;0.95;0.82;0.02;15.49;5.9;1.17;7.64;8.12;19.03;1.19;18.84;0.64;39;10;43.07,-1,-1,10,1;3;4;1;30;100;-4;4;1;3;1.1;80;1;2;2;3;2;3;2;15;160;1;1;4;3;864;352;3.6;1;1
61,9.17,38,1.2;0.41;0.22;8.09;0.64;0.5;0.36;0.96;0.02;9.79;5.9;2.11;7.96;14.64;15.44;2.27;19.19;0.52;38;10;9.17,-1,-1,10,1;3;4;1;40;100;-5;4;1;2;0.9;70;1;1;3;3;1;3;1;15;32;1;1;4;3;896;320;4.1;1;1
62,43.07,50,1.49;0.45;0.39;1.43;0.66;0.62;0.95;0.82;0.02;15.49;5.9;1.17;7.64;8.12;19.03;1.19;18.84;0.64;50;10;43.07,-1,-1,10,1;3;4;2;30;100;-4;3;1;1;0.9;70;2;2;4;3;1;3;1;14;160;1;1;4;3;896;352;4.1;2;2
63,43.07,49,1.49;0.45;0.39;1.43;0.66;0.62;0.95;0.82;0.02;15.49;5.9;1.17;7.64;8.12;19.03;1.19;18.84;0.64;49;10;43.07,-1,-1,10,1;3;4;2;30;100;-5;3;1;1;0.7;70;3;1;4;3;1;3;1;13;288;2;1;4;3;864;384;4.1;3;1
64,25.21,53,0.98;0.74;0.33;3.64;0.41;0.97;0.58;0.84;0.02;12.88;8.87;1.24;6.43;6.68;14.78;1.23;14.25;0.63;53;10;25.21,-1,-1,10,2;3;4;3;20;100;-4;4;1;1;0.5;60;2;1;4;3;2;3;1;14;416;1;1;4;2;864;384;4.6;2;1
